Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Cảm lạnh,mệt mỏi,nghẹt mũi,hắt hơi,sổ mũi,ho,,,
Lao khớp háng,sưng khớp,tê tay chân,đau xương,sụt cân,hạn chế vận động,đau khớp,sốt nhẹ,
U lành tính tinh hoàn,tê tay chân,đau khi quan hệ,đau bụng dưới,ra khí hư,,,,
Viêm tiểu phế quản mạn,ho có đờm,khó thở,kéo dài,thở khò khè,đau ngực,,,
Viêm ruột non cấp,tiêu chảy,,,,,,,
U lành tính âm đạo,rối loạn kinh nguyệt,,,,,,,
Nhiễm trùng niệu quản,ớn lạnh,tiểu rắt,tiểu ra máu,,,,,
Viêm phế quản,sốt nhẹ,ho có đờm,khó thở,mệt mỏi,đau ngực,,,
Ung thư phổi,thở khò khè,đau ngực,ho,mệt mỏi,ho có đờm,sụt cân,,
Viêm tai ngoài mạn,nghẹt mũi,khàn tiếng,đau họng,ho,kéo dài,,,
Viêm xoang,nghẹt mũi,đau mặt,,,,,,
Viêm tai giữa cấp,sốt,đau họng,đau tai,đau dữ dội,,,,
Polyp tâm vị,chán ăn,buồn nôn,ợ chua,,,,,
Viêm tử cung cấp,sốt,đau dữ dội,rối loạn kinh nguyệt,đau bụng dưới,,,,
Viêm niệu quản cấp,tiểu nhiều lần,đau dữ dội,tiểu buốt,đau lưng,sốt,đau hố chậu phải,,
Viêm ruột non mạn,kéo dài,tiêu chảy,đầy hơi,đau bụng,,,,
Ung thư thực quản,ợ chua,buồn nôn,sụt cân,đầy hơi,đau thượng vị,,,
Viêm bao hoạt dịch cấp,sưng khớp,hạn chế vận động,đau khớp,,,,,
Loét thực quản,đau,đầy hơi,buồn nôn,chán ăn,nôn ra máu,đau thượng vị,,
Thoái hóa khớp gối,sưng khớp,hạn chế vận động,cứng khớp,,,,,
Ung thư manh tràng,đầy hơi,tiêu chảy,đau bụng,sụt cân,táo bón,,,
Ung thư dây thần kinh,co giật,đau đầu,chóng mặt,mệt mỏi,tê tay chân,yếu liệt tay chân,chán ăn,sụt cân
Viêm trực tràng cấp,đầy hơi,đau bụng,đi ngoài ra máu,táo bón,tiêu chảy,,,
Viêm tá tràng mạn,đau thượng vị,kéo dài,chán ăn,đầy hơi,ợ chua,,,
Ung thư đại tràng,đau bụng,sụt cân,mệt mỏi,đi ngoài ra máu,tiêu chảy,táo bón,chán ăn,đầy hơi
Viêm mống mắt mạn,mắt đỏ,mệt mỏi,sốt,đau mắt,cộm mắt,chảy nước mắt,kéo dài,
Ung thư đại tràng,táo bón,đầy hơi,đau bụng,sụt cân,mệt mỏi,đi ngoài ra máu,,
Viêm động mạch chủ cấp,đau ngực,hồi hộp,mệt mỏi,,,,,
Lao cột sống cổ,đau xương,đau khớp,sụt cân,,,,,
Cảm cúm,đau đầu,mệt mỏi,ớn lạnh,đau nhức cơ,đau họng,sốt cao,,
Ung thư dây thần kinh,đau đầu,chóng mặt,chán ăn,yếu liệt tay chân,sụt cân,co giật,,
Viêm xoang,nghẹt mũi,sổ mũi,,,,,,
Viêm gân gót cấp,hạn chế vận động,cứng khớp,sưng khớp,đau khớp,sốt,,,
Ung thư tai giữa,đau tai,sụt cân,mệt mỏi,khàn tiếng,,,,
Viêm xoang mạn,nghẹt mũi,ho,chảy mủ tai,khàn tiếng,sốt,,,
Viêm túi mật cấp,chán ăn,đau hạ sườn phải,đau dữ dội,vàng da,buồn nôn,mệt mỏi,,
Viêm cột sống cấp,đau xương,cứng khớp,sưng khớp,đau khớp,,,,
Viêm võng mạc cấp,chảy nước mắt,sốt,cộm mắt,đau mắt,mờ mắt,mắt đỏ,,
Viêm dạ dày mạn,chán ăn,ợ chua,buồn nôn,mệt mỏi,,,,
Viêm tiểu phế quản mạn,thở khò khè,ho có đờm,ho,khó thở,đau ngực,kéo dài,mệt mỏi,
Hẹp màng ngoài tim,hồi hộp,mệt mỏi,phù chân,,,,,
Ung thư đại tràng,chán ăn,mệt mỏi,tiêu chảy,táo bón,đi ngoài ra máu,đau bụng,,
Viêm bao hoạt dịch cấp,sưng khớp,sốt,hạn chế vận động,khó nuốt,cứng khớp,,,
Viêm khớp háng cấp,đau khớp,cứng khớp,,,,,,
Sỏi niệu quản,đau quặn thận,tiểu ra máu,tiểu rắt,tiểu nhiều lần,,,,
Viêm khớp dạng thấp,sốt nhẹ,mệt mỏi,sưng khớp,đau khớp,cứng khớp,,,
Viêm tai ngoài mạn,khàn tiếng,mệt mỏi,ho,sốt,,,,
Polyp dạ dày,buồn nôn,đầy hơi,đi ngoài ra máu,chán ăn,,,,
Viêm túi mật mạn,mệt mỏi,sốt,vàng da,đau hạ sườn phải,mắt đỏ,,,
Viêm cổ tử cung mạn,kéo dài,rối loạn kinh nguyệt,đau bụng dưới,mệt mỏi,ra khí hư,,,
Viêm màng phổi mạn,ho có đờm,sốt,mệt mỏi,kéo dài,khó thở,,,
Viêm dạ dày,ợ chua,đầy hơi,đau thượng vị,chán ăn,,,,
U lành tính tuyến bã,da đỏ,phát ban,ngứa,bong tróc da,mụn nước,,,
Hẹp van tim,hồi hộp,mệt mỏi,đau ngực,,,,,
Ung thư amidan,ho,đau tai,nghẹt mũi,chán ăn,khàn tiếng,mệt mỏi,,
Viêm trung thất mạn,ho có đờm,mệt mỏi,thở khò khè,,,,,
Viêm ruột non cấp,đau bụng,táo bón,đi ngoài ra máu,tiêu chảy,đau dữ dội,sốt,,
Viêm tiểu phế quản cấp,đau ngực,ho,khó thở,thở khò khè,,,,
Ung thư xoang,ho,sụt cân,chán ăn,đau họng,khàn tiếng,nghẹt mũi,,
Viêm nội tâm mạc,khó thở,mệt mỏi,sốt,,,,,
Viêm họng mạn,kéo dài,khàn tiếng,đau tai,mệt mỏi,,,,
Viêm hậu môn,đau bụng,sốt,đi ngoài ra máu,,,,,
Viêm kết mạc cấp,mờ mắt,mắt đỏ,chảy nước mắt,sốt,,,,
U lành tính tuyến bã,bong tróc da,da đỏ,,,,,,
Viêm kết mạc mạn,mắt đỏ,đau mắt,mờ mắt,sốt,,,,
Viêm van tim mạn,đau nhức cơ,khó thở,mệt mỏi,,,,,
Viêm dạ dày mạn,ợ chua,sốt,kéo dài,đau thượng vị,chán ăn,,,
Viêm niệu quản mạn,tiểu rắt,mệt mỏi,tiểu ra máu,đau lưng,tiểu buốt,kéo dài,,
Viêm amidan cấp,ho,sốt,khàn tiếng,đau họng,nghẹt mũi,,,
Loét thực quản,chán ăn,ợ chua,đau thượng vị,đau,buồn nôn,,,
Nhồi máu cơ tim,hồi hộp,đau ngực,khó thở,đau lan cánh tay,buồn nôn,đổ mồ hôi lạnh,,
Viêm dạ dày cấp,buồn nôn,chán ăn,bầm tím,ợ chua,sốt,,,
Viêm tiểu phế quản cấp,khó thở,thở khò khè,đau ngực,ho có đờm,,,,
Viêm van tim mạn,đau ngực,sốt,hồi hộp,khó thở,phù chân,mệt mỏi,,
Ung thư vòm họng,chán ăn,mệt mỏi,sụt cân,đau tai,,,,
Viêm hồi tràng mạn,táo bón,tiêu chảy,đi ngoài ra máu,đầy hơi,đau bụng,mệt mỏi,,
Viêm niệu quản cấp,sốt,đau lưng,tiểu buốt,đau dữ dội,,,,
Ung thư dạ dày,chán ăn,ợ chua,buồn nôn,sụt cân,,,,
Hẹp cơ tim,hồi hộp,khó thở,phù chân,,,,,
Viêm tá tràng mạn,ợ chua,chán ăn,,,,,,
Ung thư âm đạo,rối loạn kinh nguyệt,sụt cân,ra khí hư,ho khan,đau khi quan hệ,chán ăn,,
Viêm cột sống cổ cấp,hạn chế vận động,sưng khớp,đau dữ dội,đau khớp,đau xương,,,
Ung thư tử cung,đau bụng dưới,ra khí hư,sụt cân,khàn tiếng,mệt mỏi,chán ăn,đau khi quan hệ,
Ung thư móng,mệt mỏi,bong tróc da,phát ban,da đỏ,sụt cân,ngứa,,
Lao khớp háng,đổ mồ hôi đêm,sụt cân,đau khớp,sưng khớp,đau tai,hạn chế vận động,sốt nhẹ,đau xương
Viêm da cấp,bong tróc da,da đỏ,ngứa,đau dữ dội,phát ban,,,
Phình màng ngoài tim,khó thở,phù chân,,,,,,
Viêm vòm họng,đau họng,đau tai,ho,khàn tiếng,sốt,,,
Viêm gan mạn,chán ăn,vàng da,đau hạ sườn phải,sốt,mệt mỏi,,,
Loét tâm vị,buồn nôn,đầy hơi,ợ chua,nôn ra máu,,,,
Viêm ruột non,tiêu chảy,sốt,đầy hơi,đau bụng,đi ngoài ra máu,,,
U lành tính lách,đau hạ sườn phải,mệt mỏi,vàng da,,,,,
Viêm màng não mạn,co giật,đau đầu,sốt,mệt mỏi,tê tay chân,,,
Nhiễm trùng ruột non,đi ngoài ra máu,ớn lạnh,tiêu chảy,,,,,
Ung thư niệu quản,tiểu nhiều lần,đau lưng,tiểu rắt,tiểu buốt,sụt cân,mệt mỏi,tiểu ra máu,
Lao cột sống cổ,sốt nhẹ,hạn chế vận động,đau xương,đổ mồ hôi đêm,sụt cân,,,
Viêm sụn khớp cấp,đau dữ dội,sốt,cứng khớp,sưng khớp,hạn chế vận động,,,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,,,,,,
Viêm trung thất mạn,ho có đờm,kéo dài,thở khò khè,ho,đau ngực,khó thở,,
Viêm cột sống cổ,đau xương,cứng khớp,sốt,đau khớp,hạn chế vận động,,,
Áp xe khí quản,khó thở,ho có đờm,đau,đau ngực,ho,sốt,,
Nhiễm trùng vòi trứng,tê tay chân,ra khí hư,đau bụng dưới,đau khi quan hệ,,,,
Viêm gân gót,đau xương,hạn chế vận động,sốt,,,,,
Tay chân miệng,sốt,phát ban,,,,,,
Hẹp nội tâm mạc,hồi hộp,khó thở,mệt mỏi,phù chân,đau ngực,,,
Lao bao hoạt dịch,đổ mồ hôi đêm,sụt cân,sốt nhẹ,hạn chế vận động,sưng khớp,,,
Viêm xoang,đau mặt,đau đầu,nghẹt mũi,,,,,
Viêm phế quản mạn,ho có đờm,ho,kéo dài,khó thở,đau ngực,,,
Viêm cổ tử cung mạn,mệt mỏi,đau bụng dưới,sốt,,,,,
Ung thư tinh hoàn,đau bụng dưới,chán ăn,đau khi quan hệ,rối loạn kinh nguyệt,sụt cân,,,
Polyp hồi tràng,đầy hơi,táo bón,đau bụng,,,,,
Viêm niệu quản,đau lưng,tiểu buốt,tiểu nhiều lần,,,,,
Viêm tinh hoàn mạn,ra khí hư,rối loạn kinh nguyệt,sốt,đau khi quan hệ,,,,
Viêm bàng quang mạn,tiểu buốt,sốt,tiểu rắt,tiểu ra máu,kéo dài,tiểu nhiều lần,,
U lành tính màng não,yếu liệt tay chân,chóng mặt,co giật,,,,,
Polyp ruột thừa,đầy hơi,đau bụng,táo bón,,,,,
Trào ngược dạ dày,ợ chua,đau ngực,khó nuốt,,,,,
Nhiễm trùng tử cung,rối loạn kinh nguyệt,đau bụng dưới,mất hứng thú,ra khí hư,đau khi quan hệ,,,
U lành tính xoang,khàn tiếng,,,,,,,
Quai bị,sốt,đau khi nhai,sưng tuyến mang tai,,,,,
Polyp thực quản,buồn nôn,đi ngoài ra máu,chán ăn,đau thượng vị,,,,
Nhiễm trùng đại tràng,đầy hơi,táo bón,đi ngoài ra máu,,,,,
Viêm tuyến bã cấp,đau dữ dội,bong tróc da,ngứa,phát ban,mụn nước,,,
Viêm dây thanh mạn,kéo dài,nghẹt mũi,sốt,đau họng,khàn tiếng,,,
Viêm sụn khớp,hạn chế vận động,đau xương,sốt,đau khớp,,,,
Viêm động mạch chủ mạn,phù chân,sốt,đau ngực,,,,,
Viêm thận cấp,tiểu rắt,sốt,tiểu buốt,tiểu nhiều lần,đau lưng,đau dữ dội,,
Áp xe khí quản,ho,sốt,khó thở,thở khò khè,ho có đờm,,,
Ngộ độc thực phẩm,tiêu chảy,mất nước,đau bụng,sốt,buồn nôn,,,
Viêm âm đạo,đau bụng dưới,sốt,rối loạn kinh nguyệt,đau khi quan hệ,,,,
Viêm bao hoạt dịch,đau khớp,sốt,sưng khớp,hạn chế vận động,đau xương,,,
Nhiễm trùng thận,sốt,đau lưng,tiểu ra máu,tiểu nhiều lần,tiểu rắt,,,
Viêm màng ngoài tim mạn,khó thở,đau ngực,phù chân,hồi hộp,kéo dài,,,
Viêm manh tràng cấp,đau bụng,đầy hơi,sốt,đau dữ dội,,,,
Viêm tuyến lệ cấp,chảy nước mắt,đau dữ dội,mắt đỏ,mờ mắt,đau mắt,,,
Ung thư phế quản,đau ngực,sụt cân,ho có đờm,ho,chán ăn,khó thở,,
Viêm động mạch chủ cấp,mệt mỏi,sốt,đau ngực,khó thở,phù chân,,,
Viêm tuyến lệ cấp,sốt,đau mắt,chảy nước mắt,đau dữ dội,mờ mắt,,,
Viêm tuyến lệ mạn,mắt đỏ,sốt,mờ mắt,chảy nước mắt,cộm mắt,,,
Viêm niệu quản,đau lưng,sốt,tiểu rắt,tiểu ra máu,tiểu nhiều lần,,,
Ung thư đại tràng,táo bón,sụt cân,tiêu chảy,đầy hơi,đi ngoài ra máu,đau bụng,,
Viêm tá tràng,chán ăn,buồn nôn,ợ chua,đầy hơi,đau thượng vị,sốt,,
Viêm buồng trứng cấp,đau khi quan hệ,đau bụng dưới,rối loạn kinh nguyệt,sốt,ra khí hư,,,
Viêm tâm vị,đầy hơi,đau thượng vị,,,,,,
Viêm khớp vai,cứng khớp,sưng khớp,,,,,,
Sỏi mật,buồn nôn,sốt,đau hạ sườn phải,,,,,
Viêm niệu quản mạn,đau lưng,tiểu ra máu,tiểu nhiều lần,mệt mỏi,kéo dài,tiểu buốt,,
Sỏi bàng quang,tiểu nhiều lần,đau lưng,đau quặn thận,tiểu ra máu,,,,
U lành tính đường mật,loét miệng,đau hạ sườn phải,vàng da,buồn nôn,,,,
Ung thư ruột non,sụt cân,táo bón,tiêu chảy,mệt mỏi,chán ăn,,,
Viêm tai ngoài mạn,đau họng,đau tai,nghẹt mũi,ho,khàn tiếng,,,
Nhiễm trùng tuyến bã,bong tróc da,ớn lạnh,ngứa,da đỏ,sốt,phát ban,,
Viêm màng ngoài tim cấp,hồi hộp,phù chân,đau dữ dội,mệt mỏi,,,,
Viêm hồi tràng mạn,đau bụng,sốt,đi ngoài ra máu,táo bón,đầy hơi,,,
Viêm bàng quang,tiểu nhiều lần,tiểu buốt,tiểu rắt,hôi miệng,,,,
Suy thận,phù chân,tiểu ít,mệt mỏi,,,,,
Viêm tinh hoàn cấp,rối loạn kinh nguyệt,táo bón,đau khi quan hệ,ra khí hư,sốt,đau bụng dưới,,
Áp xe tụy,buồn nôn,đau hạ sườn phải,mệt mỏi,chán ăn,sốt,,,
Viêm nội tâm mạc,phù chân,sốt,khó thở,mệt mỏi,,,,
Áp xe màng phổi,ho,sốt,thở khò khè,đau ngực,sưng,đau,,
Thoái hóa cột sống,cứng khớp,đau xương,sưng khớp,hạn chế vận động,,,,
Viêm mào tinh hoàn,rối loạn kinh nguyệt,đau khi quan hệ,ra khí hư,đau bụng dưới,,,,
Viêm cột sống cấp,sưng khớp,cứng khớp,sốt,đau dữ dội,,,,
Hẹp van tim,đau ngực,mệt mỏi,hồi hộp,phù chân,khó thở,,,
Sỏi mật,đau hạ sườn phải,vàng da,sốt,buồn nôn,,,,
Viêm nội tâm mạc cấp,hồi hộp,mệt mỏi,phù chân,đau ngực,đau dữ dội,,,
Viêm móng,mụn nước,ngứa,,,,,,
Loét tâm vị,đau thượng vị,đầy hơi,ợ chua,chán ăn,,,,
Phình nội tâm mạc,mệt mỏi,hồi hộp,khó thở,phù chân,,,,
Viêm vòm họng mạn,khàn tiếng,kéo dài,đau tai,nghẹt mũi,ho,mệt mỏi,,
Nhiễm trùng da,phát ban,mụn nước,ớn lạnh,sốt,ngứa,,,
Ung thư phổi,mệt mỏi,ho,đau ngực,thở khò khè,sụt cân,,,
U lành tính buồng trứng,mệt mỏi,ra khí hư,đau bụng dưới,rối loạn kinh nguyệt,,,,
Ung thư cổ tử cung,rối loạn kinh nguyệt,sụt cân,ra khí hư,đau bụng dưới,mệt mỏi,đau khi quan hệ,,
Viêm khí quản mạn,ho có đờm,thở khò khè,đau ngực,khó thở,kéo dài,mệt mỏi,ho,
Viêm phổi,ho có đờm,khó thở,mệt mỏi,sốt cao,,,,
Parkinson,chậm chạp,mất thăng bằng,run tay,đi lại khó,cứng đờ,,,
Viêm tai ngoài cấp,nghẹt mũi,ho,đau tai,,,,,
Viêm gan cấp,mệt mỏi,đau dữ dội,sốt,rối loạn kinh nguyệt,buồn nôn,,,
Viêm sụn khớp mạn,cứng khớp,hạn chế vận động,đau khớp,sưng khớp,đau xương,,,
Viêm gan mạn,chán ăn,sốt,vàng da,mệt mỏi,đau hạ sườn phải,buồn nôn,,
Parkinson,đi lại khó,cứng đờ,run tay,,,,,
Viêm cột sống mạn,sốt,cứng khớp,hạn chế vận động,đau khớp,sưng khớp,,,
Viêm tâm vị mạn,kéo dài,đầy hơi,mệt mỏi,ợ chua,buồn nôn,,,
U lành tính vòi trứng,đau hậu môn,rối loạn kinh nguyệt,ra khí hư,,,,,
Ung thư niệu quản,đau lưng,sụt cân,tiểu rắt,tiểu ra máu,tiểu buốt,,,
Loét dạ dày,đau thượng vị,ợ chua,,,,,,
Viêm tai ngoài,nghẹt mũi,khàn tiếng,sốt,đau tai,,,,
Viêm khí quản mạn,kéo dài,mệt mỏi,khó thở,sốt,ho có đờm,thở khò khè,đau hạ sườn phải,đau ngực
Viêm da,mụn nước,da đỏ,bong tróc da,,,,,
Xơ gan,vàng da,mệt mỏi,phù chân,,,,,
Viêm amidan,hôi miệng,khó nuốt,đau họng,sưng amidan,,,,
U lành tính bờ mi,mờ mắt,chảy nước mắt,cộm mắt,mắt đỏ,,,,
Ung thư đại tràng,đi ngoài ra máu,táo bón,sụt cân,mệt mỏi,,,,
Viêm thận cấp,mệt mỏi,tiểu rắt,đau lưng,,,,,
Viêm niệu đạo mạn,mệt mỏi,đau lưng,tiểu buốt,tiểu rắt,sốt,tiểu ra máu,kéo dài,
Nhiễm trùng bàng quang,tiểu rắt,đau lưng,sốt,ớn lạnh,,,,
Viêm khớp háng,cứng khớp,đau khớp,sưng khớp,đau xương,sốt,,,
Viêm cơ tim mạn,mệt mỏi,sốt,kéo dài,khó thở,khàn tiếng,phù chân,hồi hộp,
Hẹp màng ngoài tim,phù chân,đau ngực,hồi hộp,,,,,
Ung thư bàng quang,tiểu ra máu,đau lưng,tiểu buốt,sụt cân,tiểu rắt,,,
Polyp thực quản,ợ chua,đi ngoài ra máu,buồn nôn,chán ăn,,,,
Viêm bàng quang cấp,tiểu nhiều lần,tiểu rắt,,,,,,
Nhiễm trùng trực tràng,phát ban,sốt,đi ngoài ra máu,đau bụng,đầy hơi,,,
Viêm giác mạc cấp,đau mắt,cộm mắt,mắt đỏ,,,,,
Viêm họng mạn,đau tai,mệt mỏi,khàn tiếng,ho,sốt,đau họng,,
Viêm cơ tim,đau ngực,phù chân,khó thở,mệt mỏi,,,,
Tiểu đường,tiểu nhiều,mờ mắt,mệt mỏi,khát nước nhiều,sụt cân,đói nhiều,,
Táo bón,phân cứng,chán ăn,đau bụng,đi ngoài khó,,,,
Viêm tinh hoàn,sốt,rối loạn kinh nguyệt,,,,,,
U lành tính gan,buồn nôn,mệt mỏi,chán ăn,đau hạ sườn phải,,,,
U lành tính tinh hoàn,đau khi quan hệ,ra khí hư,đau bụng dưới,,,,,
Viêm nội tâm mạc,đau ngực,sốt,khó thở,phù chân,mệt mỏi,,,
Trào ngược dạ dày,khó nuốt,ợ chua,đau ngực,ợ nóng,,,,
Viêm màng ngoài tim,mệt mỏi,hồi hộp,khó thở,sốt,đau ngực,phù chân,,
Áp xe gan,đau hạ sườn phải,đau,sốt,chán ăn,vàng da,sưng,,
Ung thư thanh quản,sụt cân,đau ngực,mệt mỏi,ho,thở khò khè,,,
Viêm giác mạc,mờ mắt,cộm mắt,sốt,chảy nước mắt,,,,
Viêm phế quản cấp,ho,thở khò khè,khó thở,đau dữ dội,sốt,ho có đờm,đau ngực,
Viêm tâm vị cấp,đau thượng vị,đầy hơi,chán ăn,buồn nôn,sốt,,,
Viêm da cấp,ngứa,bong tróc da,phát ban,,,,,
Nhiễm trùng tinh hoàn,đau khi quan hệ,ớn lạnh,ra khí hư,đau bụng dưới,mất thăng bằng,,,
Trầm cảm,mất hứng thú,chán ăn,mất ngủ,buồn bã kéo dài,,,,
Viêm tai ngoài cấp,ho,khàn tiếng,nghẹt mũi,đau tai,,,,
Mề đay,phát ban,nổi mẩn,ngứa,,,,,
Viêm khớp dạng thấp,đau khớp,mệt mỏi,cứng khớp,sưng khớp,,,,
Cảm lạnh,sổ mũi,nghẹt mũi,mệt mỏi,hắt hơi,ho,,,
Sởi,đau đầu dữ dội,ho,sốt cao,phát ban,sổ mũi,,,
Viêm bờ mi,mắt đỏ,chảy nước mắt,đau mắt,sốt,,,,
Viêm tụy cấp,đau dữ dội,chán ăn,buồn nôn,sốt,đau hạ sườn phải,,,
Ung thư hậu môn,sụt cân,đi ngoài ra máu,táo bón,đầy hơi,tiêu chảy,,,
Viêm đường mật cấp,vàng da,mệt mỏi,đau dữ dội,sốt,chán ăn,đau hạ sườn phải,,
Viêm bao hoạt dịch cấp,sưng khớp,hạn chế vận động,đau khớp,đau xương,cứng khớp,,,
Viêm mào tinh hoàn cấp,sốt,rối loạn kinh nguyệt,đau bụng dưới,đau khi quan hệ,,,,
