Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Thủy đậu,mệt mỏi,phát ban,sốt,ngứa,,,,
Sốt xuất huyết,ngứa,chảy máu cam,đau khớp,đau đầu,phát ban,buồn nôn,sốt cao,đau sau hốc mắt
Viêm dạ dày,chán ăn,nôn,đau bụng,,,,,
Tiêu chảy cấp,sốt,đau bụng,tiêu chảy,nôn,mất nước,buồn nôn,,
Viêm họng,đau họng,ho,sốt,khó nuốt,,,,
Viêm phổi,ớn lạnh,ho có đờm,đau ngực,sốt cao,khó thở,,,
Viêm họng,khó nuốt,sốt,sưng hạch,đau họng,,,,
Thủy đậu,phát ban,sốt,ngứa,,,,,
Dị ứng,ngứa,hắt hơi,,,,,,
Cảm cúm,sốt cao,ớn lạnh,mệt mỏi,đau nhức cơ,đau đầu,,,
Tiêu chảy cấp,sốt,mất nước,đau bụng,,,,,
Sốt xuất huyết,đau đầu,đau khớp,sốt cao,đau sau hốc mắt,,,,
Hen suyễn,đau họng,thở khò khè,khó thở,,,,,
Viêm dạ dày,đau bụng,buồn nôn,chán ăn,ợ chua,,,,
Cảm lạnh,hắt hơi,nghẹt mũi,ho,sổ mũi,đau họng,mệt mỏi,,
Viêm dạ dày,nôn,buồn nôn,đau bụng,ợ chua,đầy hơi,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Dị ứng,chảy nước mắt,ngứa,hắt hơi,nghẹt mũi,,,,
Viêm dạ dày,ợ chua,đau bụng,nôn,,,,,
Tiêu chảy cấp,tiêu chảy,sốt,đau bụng,nôn,buồn nôn,mất nước,,
Sốt xuất huyết,chảy máu cam,đau sau hốc mắt,phát ban,sốt cao,,,,
Viêm dạ dày,ợ chua,buồn nôn,đau bụng,chán ăn,,,,
Dị ứng,ngứa,chảy nước mắt,hắt hơi,nghẹt mũi,,,,
Hen suyễn,ho,thở khò khè,khó thở,,,,,
Viêm phế quản,ho có đờm,khó thở,đau ngực,sốt nhẹ,,,,
Hen suyễn,khó thở,đau ngực,thở khò khè,buồn nôn,,,,
Tiêu chảy cấp,tiêu chảy,sốt,đau bụng,mất nước,,,,
Sốt xuất huyết,phát ban,đau khớp,đau sau hốc mắt,đau đầu,buồn nôn,sốt cao,,
Viêm dạ dày,đầy hơi,ợ chua,đau bụng,chán ăn,,,,
Dị ứng,hắt hơi,nghẹt mũi,chảy nước mắt,ngứa,phát ban,,,
Hen suyễn,đau ngực,thở khò khè,khó thở,,,,,
Viêm họng,đau họng,ho,khó nuốt,,,,,
Thủy đậu,phát ban,sốt,,,,,,
Cảm cúm,sốt cao,mệt mỏi,đau nhức cơ,đau đầu,ớn lạnh,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,,,,,,
Thủy đậu,mệt mỏi,phát ban,ngứa,chán ăn,sốt,,,
Đau nửa đầu,nhạy cảm ánh sáng,sốt nhẹ,đau đầu,,,,,
Viêm phế quản,ho có đờm,mệt mỏi,,,,,,
Cảm lạnh,nghẹt mũi,sổ mũi,hắt hơi,mệt mỏi,đau họng,,,
Dị ứng,chảy nước mắt,ngứa,hắt hơi,,,,,
Viêm dạ dày,buồn nôn,đau bụng,ợ chua,,,,,
Hen suyễn,thở khò khè,khó thở,đau ngực,ho,,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,phát ban,,,,,
Viêm dạ dày,đau bụng,nôn,ợ chua,,,,,
Sốt rét,buồn nôn,sốt cao,đổ mồ hôi,mệt mỏi,,,,
Dị ứng,nghẹt mũi,phát ban,ngứa,hắt hơi,,,,
Viêm dạ dày,đầy hơi,ợ chua,chán ăn,buồn nôn,đau bụng,,,
Dị ứng,chảy nước mắt,ngứa,phát ban,hắt hơi,,,,
Sốt xuất huyết,sốt cao,đau sau hốc mắt,phát ban,buồn nôn,đau khớp,chảy máu cam,,
Dị ứng,ngứa,chảy nước mắt,hắt hơi,,,,,
Sốt xuất huyết,phát ban,đau đầu,sốt cao,,,,,
Đau nửa đầu,nôn,đau đầu,nhạy cảm ánh sáng,,,,,
Sốt rét,ớn lạnh,sốt cao,mệt mỏi,đau đầu,đổ mồ hôi,buồn nôn,,
Hen suyễn,đau ngực,thở khò khè,khó thở,,,,,
Đau nửa đầu,nôn,nhạy cảm ánh sáng,buồn nôn,đau đầu,,,,
Viêm xoang,nghẹt mũi,đau mặt,,,,,,
Viêm dạ dày,đau bụng,,,,,,,
Sốt rét,sốt cao,đổ mồ hôi,ớn lạnh,,,,,
Cảm lạnh,đau họng,sổ mũi,hắt hơi,nghẹt mũi,,,,
Thủy đậu,mệt mỏi,phát ban,sốt,ngứa,,,,
Cảm lạnh,hắt hơi,ho,mệt mỏi,nghẹt mũi,sổ mũi,,,
Thủy đậu,sốt,ngứa,mệt mỏi,phát ban,,,,
Cảm cúm,đau nhức cơ,đau đầu,đau họng,sốt cao,ớn lạnh,ho,mệt mỏi,
Viêm họng,ho,sốt,khó nuốt,nhạy cảm ánh sáng,,,,
Dị ứng,hắt hơi,nghẹt mũi,phát ban,ngứa,,,,
Hen suyễn,ho,khó thở,thở khò khè,,,,,
Cảm lạnh,sổ mũi,mệt mỏi,nghẹt mũi,hắt hơi,,,,
Cảm cúm,mệt mỏi,ớn lạnh,sốt cao,chảy máu cam,,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Sốt rét,buồn nôn,đổ mồ hôi,ớn lạnh,,,,,
Đau nửa đầu,đau đầu,nôn,nhạy cảm ánh sáng,chóng mặt,,,,
Tiêu chảy cấp,sốt,tiêu chảy,đau bụng,thở khò khè,,,,
Dị ứng,ngứa,hắt hơi,,,,,,
Viêm xoang,đau mặt,đau đầu,nghẹt mũi,giảm khứu giác,sổ mũi,,,
Đau nửa đầu,buồn nôn,nôn,nhạy cảm ánh sáng,đau đầu,,,,
Tiêu chảy cấp,tiêu chảy,sốt,buồn nôn,mất nước,,,,
Tiêu chảy cấp,đau bụng,tiêu chảy,,,,,,
Tiêu chảy cấp,đau bụng,mất nước,tiêu chảy,,,,,
Viêm dạ dày,ợ chua,đau bụng,chán ăn,,,,,
Hen suyễn,khó thở,thở khò khè,đau ngực,,,,,
Dị ứng,nghẹt mũi,hắt hơi,phát ban,ngứa,,,,
Thủy đậu,mệt mỏi,ngứa,phát ban,sốt,,,,
Cảm cúm,đau họng,ho,đau nhức cơ,mệt mỏi,sốt cao,ớn lạnh,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,phát ban,,,,,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,nôn,,,,,
Viêm xoang,nghẹt mũi,đau đầu,giảm khứu giác,đau mặt,,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,chán ăn,buồn nôn,,,
Dị ứng,chảy nước mắt,ngứa,hắt hơi,phát ban,,,,
Viêm dạ dày,đầy hơi,đau bụng,buồn nôn,nôn,ợ chua,,,
Sốt xuất huyết,đau đầu,buồn nôn,sốt cao,phát ban,chảy máu cam,đau sau hốc mắt,,
Dị ứng,nghẹt mũi,ngứa,phát ban,hắt hơi,chảy nước mắt,,,
Thủy đậu,ngứa,sốt,,,,,,
Dị ứng,hắt hơi,nghẹt mũi,ngứa,,,,,
Viêm phế quản,ho có đờm,sốt nhẹ,khó thở,đau ngực,,,,
Hen suyễn,thở khò khè,ho,khó thở,đau ngực,,,,
Sốt xuất huyết,sốt cao,phát ban,đau ngực,đau sau hốc mắt,đau khớp,,,
Cảm lạnh,hắt hơi,nghẹt mũi,đau họng,ho,,,,
Cảm cúm,đau đầu,mệt mỏi,đau họng,sốt cao,đau nhức cơ,,,
Viêm phế quản,khó thở,mệt mỏi,ho có đờm,,,,,
Đau nửa đầu,buồn nôn,đau đầu,nôn,,,,,
Tiêu chảy cấp,nôn,buồn nôn,tiêu chảy,mất nước,sốt,đau bụng,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Cảm cúm,mệt mỏi,đau nhức cơ,sốt cao,,,,,
Tiêu chảy cấp,đau bụng,tiêu chảy,,,,,,
Cảm cúm,mệt mỏi,đau nhức cơ,đau họng,sốt cao,,,,
Thủy đậu,mệt mỏi,ngứa,phát ban,chán ăn,,,,
Đau nửa đầu,đau đầu,nôn,buồn nôn,chóng mặt,nhạy cảm ánh sáng,,,
Viêm xoang,đau mặt,đau đầu,giảm khứu giác,nghẹt mũi,,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,phát ban,đau khớp,,,,
Viêm phế quản,mệt mỏi,khó thở,ho có đờm,,,,,
Viêm dạ dày,đầy hơi,chán ăn,đau bụng,ợ chua,nôn,,,
Tiêu chảy cấp,tiêu chảy,buồn nôn,nôn,đau bụng,mất nước,,,
Viêm dạ dày,nôn,đau bụng,ợ chua,,,,,
Viêm họng,sốt,khó nuốt,đau họng,ho,,,,
Dị ứng,nghẹt mũi,phát ban,ngứa,hắt hơi,,,,
Viêm phổi,khó thở,đau ngực,sốt cao,thở khò khè,,,,
Dị ứng,ngứa,hắt hơi,,,,,,
Cảm cúm,mệt mỏi,sốt cao,đau nhức cơ,đau đầu,đau họng,,,
Cảm cúm,đau nhức cơ,ho,mệt mỏi,sốt cao,ớn lạnh,,,
Hen suyễn,đau ngực,thở khò khè,khó thở,mệt mỏi,,,,
Sốt rét,đau đầu,sốt cao,ớn lạnh,đổ mồ hôi,buồn nôn,,,
Thủy đậu,sốt,phát ban,ngứa,mệt mỏi,,,,
Sốt rét,đổ mồ hôi,mệt mỏi,ớn lạnh,sốt cao,,,,
Sốt xuất huyết,đau sau hốc mắt,chảy máu cam,phát ban,đau khớp,buồn nôn,sốt cao,,
Cảm lạnh,hắt hơi,ho,sổ mũi,nghẹt mũi,,,,
Sốt xuất huyết,buồn nôn,đau sau hốc mắt,sốt cao,đau đầu,phát ban,,,
Dị ứng,phát ban,ngứa,hắt hơi,nghẹt mũi,,,,
Viêm phế quản,khó thở,đau ngực,ho có đờm,,,,,
Dị ứng,hắt hơi,ngứa,,,,,,
Viêm họng,khó nuốt,sưng hạch,sốt,đau họng,,,,
Viêm dạ dày,chán ăn,đầy hơi,đau bụng,buồn nôn,ợ chua,,,
Dị ứng,ngứa,hắt hơi,ớn lạnh,phát ban,,,,
Đau nửa đầu,buồn nôn,nôn,nhạy cảm ánh sáng,,,,,
Dị ứng,ngứa,nghẹt mũi,hắt hơi,,,,,
Tiêu chảy cấp,sốt,buồn nôn,đau bụng,mất nước,nôn,,,
Sốt rét,mệt mỏi,đổ mồ hôi,ớn lạnh,buồn nôn,,,,
Viêm dạ dày,ợ chua,đau bụng,đầy hơi,,,,,
Sốt xuất huyết,chảy máu cam,buồn nôn,đau sau hốc mắt,sốt cao,phát ban,,,
Viêm phổi,ớn lạnh,khó thở,sốt cao,đau ngực,ho có đờm,mệt mỏi,,
Viêm dạ dày,buồn nôn,ợ chua,đau bụng,,,,,
Hen suyễn,khó thở,thở khò khè,đau ngực,,,,,
Cảm cúm,đau đầu,mệt mỏi,đau họng,đau nhức cơ,ớn lạnh,sốt cao,,
Sốt rét,sốt cao,đổ mồ hôi,mệt mỏi,ớn lạnh,,,,
Cảm cúm,ho,mệt mỏi,sốt cao,đau nhức cơ,,,,
Hen suyễn,ngứa,khó thở,thở khò khè,,,,,
Thủy đậu,ngứa,sốt,chán ăn,phát ban,mệt mỏi,,,
Hen suyễn,thở khò khè,khó thở,ho,,,,,
